year,month,date,centergeojson,n_geoms,std_dist_km
2019,1,1/2019,"{""type"":""Point"",""coordinates"":[-78.559591021,40.669617571]}",35,125.64688772162788
2019,2,2/2019,"{""type"":""Point"",""coordinates"":[-89.494282147,17.476248722]}",353,803.4997155574534
2019,3,3/2019,"{""type"":""Point"",""coordinates"":[-75.515964674,41.343032173]}",69,9.064991226578082
2019,4,4/2019,"{""type"":""Point"",""coordinates"":[-75.4059552,41.200010986]}",100,7.794132872234682
2019,5,5/2019,"{""type"":""Point"",""coordinates"":[-75.903078666,41.133178612]}",309,130.57421768057452
2019,6,6/2019,"{""type"":""Point"",""coordinates"":[-80.652872937,40.39924973]}",697,84.88945601693811
2019,7,7/2019,"{""type"":""Point"",""coordinates"":[-75.654978434,41.08482153]}",345,58.71013946289611
2019,8,8/2019,"{""type"":""Point"",""coordinates"":[-74.846375863,40.411333211]}",542,691.0879436697628
2019,9,9/2019,"{""type"":""Point"",""coordinates"":[-76.042069462,41.209569793]}",498,77.73421695674395
2019,10,10/2019,"{""type"":""Point"",""coordinates"":[-75.489474583,41.167996931]}",160,12.094419708000846
2019,11,11/2019,"{""type"":""Point"",""coordinates"":[-76.071518234,41.032969849]}",79,82.34213025283202
2019,12,12/2019,"{""type"":""Point"",""coordinates"":[-78.468574524,40.826271784]}",21,138.33291207129466
