sciname,comname,category,value
Carex,true sedges,Plantae,39
Poaceae,grasses,Plantae,22
Fungi,Fungi Including Lichens,Fungi,21
Lepidoptera,Butterflies and Moths,Insecta,18
Symphyotrichum,American asters,Plantae,17
Magnoliopsida,dicots,Plantae,16
Berberis thunbergii,Japanese barberry,Plantae,16
Russula,brittlegills,Fungi,16
Bryophyta,mosses,Plantae,15
Viola,violets,Plantae,14
Dichanthelium,rosette-panicgrasses,Plantae,14
Coleoptera,Beetles,Insecta,13
Polytrichum,haircap mosses,Plantae,13
Microstegium vimineum,Japanese stiltgrass,Plantae,12
Solidago,goldenrods,Plantae,12
Hymenoptera,"Ants, Bees, Wasps, and Sawflies",Insecta,11
Mitchella repens,partridgeberry,Plantae,10
Insecta,Insects,Insecta,10
Hamamelis virginiana,American witch-hazel,Plantae,10
Dennstaedtia punctilobula,hay-scented fern,Plantae,10
Agaricales,Common Gilled Mushrooms and Allies,Fungi,10
Araneae,Spiders,Arachnida,10
Dendrolycopodium obscurum,flat-branched tree-clubmoss,Plantae,9
Pinus,pines,Plantae,9
Persicaria,"knotweeds, smartweeds, and waterpeppers",Plantae,9
Asteraceae,"sunflowers, daisies, asters, and allies",Plantae,9
Euonymus alatus,winged euonymus,Plantae,8
Tsuga canadensis,eastern hemlock,Plantae,8
Hesperis matronalis,dame's rocket,Plantae,8
Angiospermae,flowering plants,Plantae,8
Toxomerus geminatus,Eastern Calligrapher,Insecta,8
Ischnura,Forktails,Insecta,8
Diphasiastrum digitatum,fan clubmoss,Plantae,8
Fagus grandifolia,American beech,Plantae,8
Entelegynae,Entelegyne Spiders,Arachnida,8
Phragmites australis,common reed,Plantae,8
Quercus,oaks,Plantae,8
Ageratina altissima,white snakeroot,Plantae,8
Alliaria petiolata,garlic mustard,Plantae,7
Rubus,brambles,Plantae,7
Leucobryum,Leucobryum mosses,Plantae,7
Asclepias syriaca,common milkweed,Plantae,7
Solidago bicolor,silverrod,Plantae,7
Toxomerus marginatus,Margined Calligrapher,Insecta,7
Gaultheria procumbens,Eastern Teaberry,Plantae,7
Dicranum,fork-mosses,Plantae,7
Naphrys pulex,Flea Jumping Spider,Arachnida,7
Acer pensylvanicum,striped maple,Plantae,7
Polyporaceae,bracket fungi,Fungi,7
Halysidota tessellaris,Banded Tussock Moth,Insecta,7
Oclemena acuminata,whorled wood aster,Plantae,7
Geometridae,Geometer Moths,Insecta,7
Chimaphila maculata,spotted wintergreen,Plantae,7
Heteroptera,True Bugs,Insecta,6
Sphagnum,Sphagnum mosses,Plantae,6
Danaus plexippus,Monarch,Insecta,6
Lycosidae,Wolf Spiders,Arachnida,6
Amanita,amanita mushrooms,Fungi,6
Lobelia inflata,Indian tobacco,Plantae,6
Vitis,grapevines,Plantae,6
Betula lenta,sweet birch,Plantae,6
Ellychnia corrusca,Winter Firefly,Insecta,6
Polystichum acrostichoides,Christmas fern,Plantae,6
Cladonia,Pixie Cup Lichens,Fungi,6
Nyssa sylvatica,Black Tupelo,Plantae,6
Castanea dentata,American chestnut,Plantae,6
Ligustrum,privets,Plantae,6
Achillea millefolium,common yarrow,Plantae,6
Monotropa uniflora,Ghost Pipes,Plantae,6
Tipulomorpha,Crane Flies,Insecta,6
Harmonia axyridis,Asian Lady Beetle,Insecta,6
Reynoutria japonica,Japanese knotweed,Plantae,6
Impatiens capensis,common jewelweed,Plantae,6
Rhododendron maximum,great rhododendron,Plantae,5
Hypericum,St. John's worts,Plantae,5
Onoclea sensibilis,sensitive fern,Plantae,5
Rhamnus cathartica,common buckthorn,Plantae,5
Artemisia vulgaris,common mugwort,Plantae,5
Lindera benzoin,northern spicebush,Plantae,5
Betula alleghaniensis,yellow birch,Plantae,5
Salticidae,Jumping Spiders,Arachnida,5
Bombus impatiens,Common Eastern Bumble Bee,Insecta,5
Ambrosia artemisiifolia,common ragweed,Plantae,5
Fallopia scandens,climbing false buckwheat,Plantae,5
Formicidae,Ants,Insecta,5
Cyperus,flatsedges,Plantae,5
Noctuidae,Cutworm Moths and Allies,Insecta,5
Pinus strobus,eastern white pine,Plantae,5
Arisaema triphyllum,Jack-in-the-pulpit,Plantae,5
Scirpus cyperinus,woolgrass,Plantae,5
Carex swanii,Swan's sedge,Plantae,5
Cirsium vulgare,bull thistle,Plantae,5
Clinopodium vulgare,Wild Basil,Plantae,5
Veronica officinalis,heath speedwell,Plantae,5
