name,value
Australia,28865
Sri Lanka,5278
India,895
New Zealand,855
Laos,438
United States,190
Japan,176
Malaysia,162
Philippines,136
Indonesia,69
Canada,68
Germany,61
Trinidad and Tobago,59
Bangladesh,42
United Kingdom,41
China,28
Norway,27
,26
Barbados,24
Bhutan,23
South Africa,23
Christmas Island,22
Denmark,20
Singapore,19
Croatia,17
Mozambique,16
Czechia,15
Israel,14
Sweden,12
Vanuatu,12
Costa Rica,11
Taiwan,10
Switzerland,10
Spain,10
Thailand,9
Netherlands,9
Portugal,7
Samoa,7
New Caledonia,6
Greece,5
United Arab Emirates,5
France,4
Fiji,3
Ireland,3
Cambodia,3
Uruguay,3
Vietnam,3
Chile,2
Hong Kong,2
Cook Islands,2
Belgium,2
Romania,2
Colombia,1
Saudi Arabia,1
Russia,1
Peru,1
Nepal,1
Austria,1
Zimbabwe,1
