date,count_ids
2019-01-01,10
2019-01-02,8
2019-01-03,3
2019-01-04,6
2019-01-05,3
2019-01-06,2
2019-01-07,17
2019-01-08,5
2019-01-09,1
2019-01-10,10
2019-01-11,1
2019-01-12,2
2019-01-13,6
2019-01-14,11
2019-01-15,32
2019-01-16,20
2019-01-17,5
2019-01-19,1
2019-01-21,1
2019-01-22,8
2019-01-23,5
2019-01-24,9
2019-01-25,6
2019-01-26,29
2019-01-27,2
2019-01-28,237
2019-01-29,96
2019-01-30,62
2019-01-31,65
2019-02-01,98
2019-02-02,39
2019-02-03,6
2019-02-04,6
2019-02-05,16
2019-02-06,1
2019-02-07,5
2019-02-09,27
2019-02-10,8
2019-02-11,1
2019-02-12,19
2019-02-13,14
2019-02-15,3
2019-02-17,1
2019-02-20,2
2019-02-21,1
2019-02-22,8
2019-02-23,6
2019-02-24,3
2019-02-27,20
2019-02-28,1
2019-03-01,7
2019-03-02,4
2019-03-03,12
2019-03-04,1
2019-03-05,13
2019-03-06,16
2019-03-08,24
2019-03-09,2
2019-03-10,5
2019-03-11,12
2019-03-13,1
2019-03-15,6
2019-03-18,6
2019-03-20,1
2019-03-21,1
2019-03-22,7
2019-03-24,13
2019-03-25,1
2019-03-26,17
2019-03-27,3
2019-03-28,20
2019-03-29,26
2019-03-30,2
2019-03-31,2
2019-04-01,11
2019-04-02,9
2019-04-03,6
2019-04-04,12
2019-04-06,37
2019-04-07,3
2019-04-09,25
2019-04-10,6
2019-04-11,11
2019-04-12,16
2019-04-14,14
2019-04-16,12
2019-04-17,4
2019-04-19,14
2019-04-20,1
2019-04-24,6
2019-04-25,3
2019-04-26,20
2019-04-27,20
2019-04-28,5
2019-04-29,12
2019-04-30,8
2019-05-01,9
2019-05-02,1
2019-05-03,2
2019-05-05,1
2019-05-07,4
2019-05-09,2
2019-05-12,3
2019-05-13,3
2019-05-14,30
2019-05-15,9
2019-05-16,4
2019-05-17,5
2019-05-18,2
2019-05-19,7
2019-05-20,15
2019-05-21,8
2019-05-22,11
2019-05-23,2
2019-05-24,17
2019-05-25,19
2019-05-26,16
2019-05-27,5
2019-05-28,11
2019-05-29,26
2019-05-30,5
2019-05-31,13
2019-06-01,21
2019-06-02,14
2019-06-03,31
2019-06-04,18
2019-06-05,33
2019-06-06,19
2019-06-07,33
2019-06-08,12
2019-06-09,10
2019-06-10,6
2019-06-11,16
2019-06-12,42
2019-06-13,18
2019-06-14,11
2019-06-16,6
2019-06-17,5
2019-06-18,11
2019-06-19,5
2019-06-20,13
2019-06-21,6
2019-06-22,8
2019-06-23,1
2019-06-24,2
2019-06-25,9
2019-06-26,10
2019-06-27,3
2019-06-28,8
2019-06-29,13
2019-06-30,6
2019-07-01,1
2019-07-02,11
2019-07-03,23
2019-07-04,17
2019-07-05,12
2019-07-06,12
2019-07-07,5
2019-07-08,10
2019-07-09,9
2019-07-10,15
2019-07-11,9
2019-07-12,3
2019-07-13,29
2019-07-14,3
2019-07-15,13
2019-07-16,22
2019-07-17,4
2019-07-18,8
2019-07-19,16
2019-07-20,12
2019-07-21,1
2019-07-23,11
2019-07-24,20
2019-07-25,5
2019-07-26,10
2019-07-27,13
2019-07-28,15
2019-07-29,4
2019-07-30,34
2019-07-31,34
2019-08-01,3
2019-08-02,31
2019-08-03,7
2019-08-04,29
2019-08-05,16
2019-08-06,20
2019-08-07,27
2019-08-08,16
2019-08-09,28
2019-08-10,10
2019-08-11,17
2019-08-12,31
2019-08-13,15
2019-08-14,23
2019-08-15,10
2019-08-16,15
2019-08-17,21
2019-08-18,6
2019-08-19,25
2019-08-20,29
2019-08-21,16
2019-08-22,17
2019-08-23,7
2019-08-24,15
2019-08-25,2
2019-08-26,12
2019-08-27,14
2019-08-28,19
2019-08-29,27
2019-08-30,29
2019-08-31,3
2019-09-01,19
2019-09-02,11
2019-09-03,10
2019-09-04,18
2019-09-05,40
2019-09-06,36
2019-09-07,33
2019-09-08,7
2019-09-09,1
2019-09-10,39
2019-09-11,2
2019-09-12,9
2019-09-13,18
2019-09-14,9
2019-09-15,8
2019-09-16,5
2019-09-18,17
2019-09-19,14
2019-09-20,15
2019-09-21,3
2019-09-22,1
2019-09-23,24
2019-09-24,24
2019-09-25,19
2019-09-27,28
2019-09-28,14
2019-09-29,8
2019-09-30,31
2019-10-01,6
2019-10-02,1
2019-10-06,1
2019-10-07,1
2019-10-08,9
2019-10-09,11
2019-10-10,6
2019-10-11,5
2019-10-12,14
2019-10-13,3
2019-10-15,1
2019-10-19,2
2019-10-21,1
2019-10-22,2
2019-10-23,1
2019-10-25,1
2019-10-26,3
2019-10-28,1
2019-10-29,1
2019-10-30,1
2019-10-31,2
2019-11-01,1
2019-11-02,1
2019-11-03,1
2019-11-04,1
2019-11-07,2
2019-11-14,2
2019-11-15,4
2019-11-16,3
2019-11-18,2
2019-11-22,1
2019-11-25,2
2019-11-26,1
2019-11-28,1
2019-11-29,1
2019-12-04,1
2019-12-06,2
2019-12-09,2
2019-12-12,2
2019-12-16,1
2019-12-17,1
2019-12-25,2
2019-12-27,1
