date,centergeojson,n_geoms,std_dist_km
2019-01-15,"{""type"":""Point"",""coordinates"":[114.078330994,-2.323737741]}",2,0.014495726448628236
2019-02-01,"{""type"":""Point"",""coordinates"":[-110.713806398,32.349128969]}",31,1.070575160227213
2019-02-02,"{""type"":""Point"",""coordinates"":[-110.721367284,32.309692282]}",38,0.00022982193754632056
2019-02-05,"{""type"":""Point"",""coordinates"":[-110.707387464,32.320525728]}",29,0.4096398470070896
2019-02-07,"{""type"":""Point"",""coordinates"":[-110.715740204,32.342327935]}",14,0.684289177264672
2019-02-08,"{""type"":""Point"",""coordinates"":[-110.699209849,32.329124875]}",36,1.1244849352112323
2019-02-09,"{""type"":""Point"",""coordinates"":[-110.815148354,32.310856819]}",16,0.198315797971886
2019-02-11,"{""type"":""Point"",""coordinates"":[-110.712373445,32.322110494]}",33,1.042387446351146
2019-02-12,"{""type"":""Point"",""coordinates"":[-110.7152764,32.342298508]}",24,4.037919809830066
2019-02-15,"{""type"":""Point"",""coordinates"":[120.11000061,-2.589999914]}",1,
2019-02-19,"{""type"":""Point"",""coordinates"":[-110.730926514,32.281433105]}",4,0
2019-02-26,"{""type"":""Point"",""coordinates"":[-110.712428822,32.315823948]}",34,0.4701254491559289
2019-02-28,"{""type"":""Point"",""coordinates"":[-110.708987496,32.340708993]}",22,1.4267849655732598
2019-03-04,"{""type"":""Point"",""coordinates"":[-110.717371259,32.319110689]}",42,0.7037060123407421
2019-03-05,"{""type"":""Point"",""coordinates"":[-110.707450642,32.322952831]}",34,1.2553393960827637
2019-03-07,"{""type"":""Point"",""coordinates"":[-110.70966758,32.31934409]}",51,0.8032880931552889
2019-03-10,"{""type"":""Point"",""coordinates"":[-110.714438077,32.322840723]}",58,0.7376154383735103
2019-03-14,"{""type"":""Point"",""coordinates"":[-110.719994178,32.356081743]}",13,0.32844990744209146
2019-03-17,"{""type"":""Point"",""coordinates"":[-110.71737134,32.334391841]}",27,0.8804803475634904
2019-03-21,"{""type"":""Point"",""coordinates"":[-110.712186178,32.338944753]}",33,0.4268070241674696
2019-03-24,"{""type"":""Point"",""coordinates"":[-111.024113862,32.279190727]}",23,0.07570992997476227
2019-03-25,"{""type"":""Point"",""coordinates"":[-110.71784748,32.345991354]}",61,0.8014125056372765
2019-03-27,"{""type"":""Point"",""coordinates"":[-110.727927031,32.337355673]}",81,1.406456033791445
2019-03-28,"{""type"":""Point"",""coordinates"":[-110.698926544,32.349632772]}",30,1.3304583926742626
2019-03-29,"{""type"":""Point"",""coordinates"":[-110.703470866,32.32228597]}",27,0.3045025189932315
2019-04-01,"{""type"":""Point"",""coordinates"":[-110.698189721,32.338267693]}",65,1.8337810629552012
2019-04-03,"{""type"":""Point"",""coordinates"":[-110.704694475,32.376865223]}",70,1.7904244624764674
2019-04-05,"{""type"":""Point"",""coordinates"":[-110.726548301,32.318346094]}",108,1.6232519297168897
2019-04-08,"{""type"":""Point"",""coordinates"":[-110.701283997,32.368585661]}",102,2.1970094522376686
2019-04-10,"{""type"":""Point"",""coordinates"":[-110.71289335,32.34033303]}",42,1.2170346106250391
2019-04-11,"{""type"":""Point"",""coordinates"":[-110.712857564,32.349501848]}",48,1.959236499895401
2019-04-13,"{""type"":""Point"",""coordinates"":[-110.697418552,32.341306729]}",45,1.0300581231826942
2019-04-15,"{""type"":""Point"",""coordinates"":[-110.699901315,32.349901066]}",43,2.8624379115530516
2019-04-18,"{""type"":""Point"",""coordinates"":[-110.702200456,32.356282032]}",66,1.2974876716791701
2019-04-25,"{""type"":""Point"",""coordinates"":[-110.731322238,32.403807991]}",38,2.2236393827502647
2019-05-15,"{""type"":""Point"",""coordinates"":[99.832496643,19.907028198]}",1,
2019-05-23,"{""type"":""Point"",""coordinates"":[-110.698662077,32.361285652]}",112,1.378143290760176
2019-05-24,"{""type"":""Point"",""coordinates"":[-110.725557963,32.320460373]}",72,0.9404395924162686
2019-05-27,"{""type"":""Point"",""coordinates"":[-110.699568329,32.369548988]}",100,1.543251816762963
2019-05-28,"{""type"":""Point"",""coordinates"":[-110.730644345,32.402812541]}",64,1.0285304633820005
2019-05-30,"{""type"":""Point"",""coordinates"":[-110.700609693,32.326438455]}",51,0.24158016845721944
2019-05-31,"{""type"":""Point"",""coordinates"":[-110.70088469,32.363347042]}",81,2.422546097526083
2019-06-04,"{""type"":""Point"",""coordinates"":[-110.722908629,32.362665501]}",188,2.7944420261829013
2019-06-06,"{""type"":""Point"",""coordinates"":[-110.691302465,32.391922267]}",184,0.7073640779600144
2019-06-10,"{""type"":""Point"",""coordinates"":[-110.719807889,32.367910913]}",47,1.488014727778446
2019-06-11,"{""type"":""Point"",""coordinates"":[-110.700050507,32.350108795]}",50,1.2997198732348163
2019-06-13,"{""type"":""Point"",""coordinates"":[-110.70375824,32.41110611]}",35,0
2019-06-15,"{""type"":""Point"",""coordinates"":[116.333000183,-1.033329964]}",1,
2019-06-18,"{""type"":""Point"",""coordinates"":[-110.694473636,32.372634888]}",62,0.003721389788294202
2019-06-20,"{""type"":""Point"",""coordinates"":[-110.718293355,32.345140889]}",75,0.00570048794671824
2019-06-24,"{""type"":""Point"",""coordinates"":[-110.705973761,32.388455459]}",112,1.5952790478515397
2019-06-27,"{""type"":""Point"",""coordinates"":[-110.702011236,32.35461998]}",60,1.0689629515227757
2019-06-28,"{""type"":""Point"",""coordinates"":[-110.691389743,32.337792934]}",110,0.03435371951584628
2019-07-01,"{""type"":""Point"",""coordinates"":[-110.692969302,32.335415049]}",94,0.35252892325344387
2019-07-02,"{""type"":""Point"",""coordinates"":[-110.689224243,32.397895813]}",109,0
2019-07-03,"{""type"":""Point"",""coordinates"":[-110.691131592,32.374446842]}",144,3.485702000000001e-05
2019-07-05,"{""type"":""Point"",""coordinates"":[-110.691131592,32.374446869]}",58,0
2019-07-08,"{""type"":""Point"",""coordinates"":[-110.694839478,32.382843018]}",51,0
2019-07-09,"{""type"":""Point"",""coordinates"":[-110.690908281,32.374993824]}",63,0.013121364006152254
2019-07-12,"{""type"":""Point"",""coordinates"":[-110.699958801,32.326721191]}",90,0
2019-07-15,"{""type"":""Point"",""coordinates"":[-110.715128835,32.391762733]}",60,2.237712318596248
2019-07-17,"{""type"":""Point"",""coordinates"":[-110.740397135,32.393455372]}",57,3.9353470202172955
2019-07-18,"{""type"":""Point"",""coordinates"":[-110.709480093,32.398669587]}",119,1.384239276770641
2019-07-19,"{""type"":""Point"",""coordinates"":[-110.702539444,32.340857824]}",36,0.2222349518900002
2019-07-22,"{""type"":""Point"",""coordinates"":[-110.714126587,32.383363641]}",69,1.969131831015259
2019-07-23,"{""type"":""Point"",""coordinates"":[-110.695921021,32.377656403]}",125,1.6979637363339546
2019-07-25,"{""type"":""Point"",""coordinates"":[-110.72281367,32.354701233]}",30,0.0028086551248932283
2019-07-26,"{""type"":""Point"",""coordinates"":[-110.711511993,32.369227982]}",20,1.6358951808590267
2019-07-29,"{""type"":""Point"",""coordinates"":[-110.727257957,32.385834761]}",71,1.6384296098814173
2019-08-01,"{""type"":""Point"",""coordinates"":[-110.707353721,32.382125854]}",251,2.591881694002982
2019-08-02,"{""type"":""Point"",""coordinates"":[-110.916702271,32.42628479]}",77,0
2019-08-06,"{""type"":""Point"",""coordinates"":[-110.697265926,32.333843984]}",76,1.2887646095929857
