recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
QuestaGame,{196849},{questagame},Reiner Richter,724,21546,{222137},{reiner},22231
Sara Rall,{35078},{srall},Sandy Wolkenberg,584,18482,{572980},{sadawolk},7433
bobbyfingers,{769610},{bobbyfingers},bobbyfingers,282,288,{769610},{bobbyfingers},6331
Elliot Greiner,{292489},{elliotgreiner},mcaple,253,3950,{558416},{mcaple},4708
Joe MDO,{349183},{joemdo},Alan R. Franck,190,5668,{1130299},{afranck},1945
Argyl Houser,{601946},{argyl},roomthily,176,1480,{442615},{roomthily},11733
Tom Palmer,{371538},{tpalmer},Edwin Bridges,173,4158,{1389244},{edwinbridges},1871
Colin Trainor,{351706},{colintrainor},Reiner Richter,141,1875,{222137},{reiner},22231
QuestaGame,{196849},{questagame},James Bailey,128,21546,{6971},{silversea_starsong},8732
QuestaGame,{196849},{questagame},Ethan Beaver,125,21546,{1401423},{ethanbeaver},1097
Samantha Heller,{1544269},{artemesia},theo_witsell,117,1040,{920858},{theo_witsell},1791
Francisco Farriols Sarabia,,,roomthily,116,5415,{442615},{roomthily},11733
Roz Hunter,{881782},{rozzychan},Sam Kieschnick,115,650,{22589},{sambiology},15626
Paulius Rupšas,{1198134},{solokultas},Jurga Motiejūnaitė,114,1514,{1369015},{jurga_li},8420
Greg Lasley,{9706},{greglasley},Chuck Sexton,113,5088,{27047},{gcwarbler},5744
Ira Gershenhorn,{341653},{irag},Sandy Wolkenberg,111,1562,{572980},{sadawolk},7433
Henry Fabian,{3342},{hfabian},kevinhintsa,111,4193,{38530},{kevinhintsa},1186
Alexey Zyryanov,{1545212},{alzov},sultanov-rinat,109,2156,{1520472},{sultanov-rinat},1243
jaliya,{110360},{jaliya},Reuven Martin,106,2985,{42004},{reuvenm},5269
Jared Shorma,{491170},{blazeclaw},Jared Gorrell,106,3773,{395895},{wildlandblogger},12790
Sam Kieschnick,{22589},{sambiology},Chuck Sexton,103,11465,{27047},{gcwarbler},5744
Annika Lindqvist,{24973},{annikaml},Sam Kieschnick,100,6551,{22589},{sambiology},15626
Joseph Salmieri Jr.,{1054256},{josephthebirder},Jared Gorrell,94,6452,{395895},{wildlandblogger},12790
Mike Farley,{131068},{mikef451},Chuck Sexton,93,2536,{27047},{gcwarbler},5744
Scott Buckel,{16522},{scottbuckel},Aaron Tjelmeland,93,3762,{842791},{atjelmeland},1445
Alisa DeMatteo,{692733},{alisadematteo},Joshua Lincoln,92,2613,{20198},{joshualincoln},7925
Brenna Farrell,{521996},{brennafarrell},Gray Catanzaro,87,5734,,,7198
Matt Berger,{740297},{sheriff_woody_pct},Alex Wright,85,6588,{205278},{ajwright},4980
Ben Machado,{87743},{bennypoo},Alan R. Franck,84,1220,{1130299},{afranck},1945
Tony Iwane,{28},{tiwane},Ken-ichi Ueda,83,3407,{1},{kueda},3328
Mike,,,Alex Wright,83,4718,{205278},{ajwright},4980
Daniel Levitis,{756324},{dlevitis},Krissa Klein,78,1581,{17695},{graysquirrel},11732
Frank Izaguirre,{154438},{birdizlife},Alan R. Franck,76,2251,{1130299},{afranck},1945
Healthy Yards,{1390358},{healthyyards},Clarence Holmes,76,826,{1357547},{cholmesphoto},1098
Brent Franklin,{25863},{brentano},Sam Kieschnick,73,3338,{22589},{sambiology},15626
lonnyholmes,{53702},{lonnyholmes},Corey Lange,73,3688,{55236},{coreyjlange},2167
Joe MDO,{349183},{joemdo},Edwin Bridges,70,5668,{1389244},{edwinbridges},1871
Ken Potter,{284003},{ken-potter},Alden Dirks,69,4095,{1180604},{aldendirks},267
QuestaGame,{196849},{questagame},Dave Holland,68,21546,{1305207},{dave_holland},3306
José Garrido,{1168539},{josegarrido},Alex Wright,67,943,{205278},{ajwright},4980
Benjamin Schwartz,{22312},{beschwar},Chuck Sexton,66,1786,{27047},{gcwarbler},5744
hikingsandiego,{228955},{hikingsandiego},BJ Stacey,65,7708,{10285},{finatic},7080
William Terry Hunefeld,{231709},{thunefeld},Fred Melgert / Carla Hoegen,65,3696,{750774},{efmer},12294
Sandy Wolkenberg,{572980},{sadawolk},Sara Rall,64,6371,{35078},{srall},17566
Alexandra Touloupas,{789341},{big_al_xo},jtuttle,64,895,{105391},{jtuttle},2152
Brian Starzomski,{515751},{bstarzomski},Alex Wright,64,10503,{205278},{ajwright},4980
Jaime Baxter-Slye,{301957},{baxter-slye},Sam Kieschnick,63,647,{22589},{sambiology},15626
John D Reynolds,{459348},{johndreynolds},Alex Wright,63,14894,{205278},{ajwright},4980
O. Eric Ramirez Bravo,{673337},{eric_tigrerito},Bodo Nuñez Oberg,61,586,{318516},{bodofzt},2985
Marina Gorbunova,,,Jurga Motiejūnaitė,60,9061,{1369015},{jurga_li},8420
James Bailey,{6971},{silversea_starsong},Dave Holland,59,10404,{1305207},{dave_holland},3306
Dr. Alison Northup,{438488},{alisonnorthup},Robby Deans,58,3439,{18780},{hydaticus},4501
Илья Сухов,{1337271},{aquacielo},sultanov-rinat,56,4012,{1520472},{sultanov-rinat},1243
J.D. Willson,{1220380},{jdwillson},bobbyfingers,56,1645,{769610},{bobbyfingers},6331
Andy,,,Sam Kieschnick,56,1060,{22589},{sambiology},15626
Joey Shaw,{106906},{joeyshaw},Dwayne Estes,55,1835,{109199},{destes},3348
QuestaGame,{196849},{questagame},David Jeffrey Ringer,55,21546,{792319},{djringer},3941
BJ Stacey,{10285},{finatic},Kyhl Austin,54,7429,{302562},{kyhlaustin},3218
Robert Webster,{42472},{xpda},Alex Harman,53,5419,{579740},{alex_cicindela_guy},3182
QuestaGame,{196849},{questagame},napoleon1799,53,21546,{762836},{napoleon1799},2226
John Boldt,{931776},{johnhboldt},Paul Marcum,53,4585,{37031},{sedge},3557
BJ Stacey,{10285},{finatic},Fred Melgert / Carla Hoegen,53,7429,{750774},{efmer},12294
Ira Gershenhorn,{341653},{irag},Sara Rall,53,1562,{35078},{srall},17566
Aniruddha Singhamahapatra,{951127},{aniruddha_singhamahapatra},Rejoice Gassah,52,3573,{506512},{rejoicegassah},2331
Jared Gorrell,{395895},{wildlandblogger},Paul Marcum,52,12077,{37031},{sedge},3557
Richard Stovall,{967448},{arctic_mongoose},Joshua Lincoln,52,1722,{20198},{joshualincoln},7925
Kristin A. Bakkegard,{45587},{kbakkegard},Wayne Fidler,50,812,{281081},{wayne_fidler},4663
Damon Tighe,{3494},{damontighe},Alex Wright,49,4825,{205278},{ajwright},4980
Joshua Doby,{226045},{joshuadoby},Edwin Bridges,49,1915,{1389244},{edwinbridges},1871
Madison Gover,{749118},{madisong},Sam Kieschnick,49,1800,{22589},{sambiology},15626
Mikko Heikkinen,{78963},{mikkohei13},Jurga Motiejūnaitė,48,404,{1369015},{jurga_li},8420
Alice Herden,,,j_appleget,48,769,{472267},{j_appleget},3102
John D Reynolds,{459348},{johndreynolds},Sean Blaney,47,14894,{191483},{seanblaney},2421
Matt Berger,{740297},{sheriff_woody_pct},Fred Melgert / Carla Hoegen,47,6588,{750774},{efmer},12294
Ken Rosenthal,{192858},{krosenthal},Gray Catanzaro,47,3725,,,7198
QuestaGame,{196849},{questagame},leithallb,47,21546,{412258},{leithallb},784
Sequoia Janirella Wrens,{420537},{astrobirder},Jared Gorrell,47,16472,{395895},{wildlandblogger},12790
Jessica,,,Howard Horne,47,1200,{1059509},{howardhorne},1966
gernotkunz,{827504},{gernotkunz},mnauky,46,3846,{1638987},{mnauky},4829
Mira,,,Jeremy Hussell,46,1357,{367383},{jeremyhussell},2635
Jean Suplick,{426782},{jsuplick},Sam Kieschnick,45,803,{22589},{sambiology},15626
Robert Webster,{42472},{xpda},Joshua Lincoln,45,5419,{20198},{joshualincoln},7925
Guillermo Rodriguez,{150308},{memorodriguez},Pedro Nájera Quezada,44,761,{17401},{najera_tutor},7463
Jonathan Eisen,{99304},{phylogenomics},Greg Lasley,43,11376,{9706},{greglasley},9578
Joshua Sands,{411512},{jcs13},Joe MDO,43,989,{349183},{joemdo},5052
Elliot Greiner,{292489},{elliotgreiner},Adam Kranz,43,3950,{1673632},{megachile},3119
"Grupo de monitoreo comunitario ""Vergel de Bernalejo""",{2355877},{monitoreo_vergel_bernalejo},Pedro Nájera Quezada,42,458,{17401},{najera_tutor},7463
Dwayne Estes,{109199},{destes},theo_witsell,42,3006,{920858},{theo_witsell},1791
Alexis Felipe,{1505702},{alex835},Wayne Fidler,42,727,{281081},{wayne_fidler},4663
Jesse Rorabaugh,{52839},{glmory},Krissa Klein,42,2365,{17695},{graysquirrel},11732
QuestaGame,{196849},{questagame},Alex,42,21546,,,1408
awilli1980,{1411142},{awilli1980},Sam Kieschnick,42,189,{22589},{sambiology},15626
kathleenfspicer,{761669},{kathleenfspicer},Denis Doucet,41,5157,{107551},{nbdragonflyguy},898
Eric Jain,{538622},{ejain},Alex Wright,41,737,{205278},{ajwright},4980
Owen Clarkin,{164015},{owenclarkin},Sean Blaney,40,5505,{191483},{seanblaney},2421
J.D. Willson,{1220380},{jdwillson},Gray Catanzaro,40,1645,,,7198
Ben Ackerley,{2258530},{benackerley},Dave Holland,40,396,{1305207},{dave_holland},3306
boromir,{490116},{boromir},Audun Eriksen,40,1386,{606457},{audun},152
Calli,,,Ves,40,2445,{539598},{sylbird},5290
EEL Program,,,Joe MDO,40,408,{349183},{joemdo},5052
Jonathan Eisen,{99304},{phylogenomics},Krissa Klein,39,11376,{17695},{graysquirrel},11732
Carlos Domínguez-Rodríguez,{67003},{blakesito},Luis Humberto Vicente Rivera,39,6151,{154885},{luishumbertosocton},640
mfeaver,{907409},{mfeaver},Edwin Bridges,39,2936,{1389244},{edwinbridges},1871
Joshua Sands,{411512},{jcs13},bobbyfingers,39,989,{769610},{bobbyfingers},6331
Anthony Brais,{1064292},{syrherp},Gray Catanzaro,39,865,,,7198
Missy McAllister Kerr,{111241},{lovebirder},Sam Kieschnick,39,3145,{22589},{sambiology},15626
Erik,,,C. Meling,39,2909,{175484},{c_meling},2401
Remington Jackson,{205708},{rhjackso},Krissa Klein,38,1625,{17695},{graysquirrel},11732
Erika Mitchell,{12158},{erikamitchell},Kyhl Austin,38,11788,{302562},{kyhlaustin},3218
lisnel,{1050981},{lisnel},Joe MDO,38,850,{349183},{joemdo},5052
Franz Anthony,{541253},{franzanth},CheongWeei Gan,38,1355,{44170},{gancw1},3055
Jonathan Eisen,{99304},{phylogenomics},roomthily,37,11376,{442615},{roomthily},11733
Holger Beck,{1739120},{holgerbeck},John G. Phillips,37,1576,{15796},{johngsalamander},4533
Joshua Doby,{226045},{joshuadoby},Eric M Powell,37,1915,{64568},{ericpo1},5540
Ryan Cooke,{469469},{ryancooke},Eric M Powell,37,1804,{64568},{ericpo1},5540
Shawn Taylor,{385784},{atlnature},Joshua Lincoln,37,1941,{20198},{joshualincoln},7925
hikingsandiego,{228955},{hikingsandiego},Fred Melgert / Carla Hoegen,37,7708,{750774},{efmer},12294
Joshua Doby,{226045},{joshuadoby},Noah Frade,36,1915,{277896},{noaboa},1227
Jonathan Eisen,{99304},{phylogenomics},Jay S,36,11376,{614583},{jsulzmann},3067
Dr. Alison Northup,{438488},{alisonnorthup},Edwin Bridges,36,3439,{1389244},{edwinbridges},1871
Sara Rall,{35078},{srall},Robert Russo,35,18482,{1409076},{lenrely},2227
maureenclare,{1161656},{maureenclare},mcaple,35,1059,{558416},{mcaple},4708
J. Allen Ratzlaff,{28545},{allenratzlaff},Jim Johnson,35,660,{24521},{jimjohnson},2771
Scott Buckel,{16522},{scottbuckel},Andrew Meeds,35,3762,{917390},{ameeds},2448
asgreen,{560446},{asgreen},Wayne Fidler,34,582,{281081},{wayne_fidler},4663
Nathan Peters,{616772},{nrpeters},Matt Schultz,34,2044,{1030528},{matthias55},2129
safechrislaurie,{1042916},{safechrislaurie},Greg Lasley,34,1019,{9706},{greglasley},9578
Marina Gorbunova,,,Lupoli Roland,34,9061,{1530852},{lupoli_roland},5207
hikingsandiego,{228955},{hikingsandiego},Kellie Uyeda,34,7708,{1422818},{kuyeda},966
Joe MDO,{349183},{joemdo},Bruce Holst,34,5668,{1366955},{bruceholst},540
Alan Kwok / Ada Tai,{1156638},{alankwok},Tse Chung Yi,34,10435,{1259538},{fishtse},588
Penelope Burrus,{1026155},{penelopeburrus},mcaple,34,497,{558416},{mcaple},4708
Richard Stovall,{967448},{arctic_mongoose},Arturo Santos,34,1722,,,2047
jaliya,{110360},{jaliya},edporopat,34,2985,{529327},{edporopat},1338
John D Reynolds,{459348},{johndreynolds},Don Sutherland,34,14894,{437461},{donaldasutherland},3985
Ryan Donnelly,,,Fred Melgert / Carla Hoegen,33,2241,{750774},{efmer},12294
Joe MDO,{349183},{joemdo},Arturo Santos,33,5668,,,2047
